material_id,material_name,youngs_modulus_gpa,tensile_strength_mpa,density_g_cm3,melting_point_k,thermal_conductivity_wm_k,electrical_resistivity_ohm_m,hardness_hv,crystal_structure
MS001,Steel-304,200.0,515.0,8.00,1673,16.3,7.2e-7,215,austenitic
MS002,Aluminum-6061,68.9,310.0,2.70,925,167.0,4.0e-8,95,face_centered_cubic
MS003,Titanium-Ti6Al4V,113.8,950.0,4.43,1878,6.7,1.78e-6,349,hexagonal_close_packed
MS004,Copper-Pure,117.0,220.0,8.96,1358,401.0,1.68e-8,87,face_centered_cubic
MS005,Carbon-Fiber,230.0,3500.0,1.60,3773,100.0,1.5e-5,2800,hexagonal
MS006,Silicon-Carbide,410.0,550.0,3.21,3003,120.0,1.0e2,2800,hexagonal
MS007,Tungsten-Pure,411.0,550.0,19.25,3695,173.0,5.6e-8,343,body_centered_cubic
MS008,Nickel-Inconel718,205.0,1275.0,8.19,1609,11.4,1.25e-6,331,face_centered_cubic
MS009,Magnesium-AZ31,45.0,290.0,1.78,923,96.0,4.45e-8,73,hexagonal_close_packed
MS010,Zinc-Pure,108.0,37.0,7.14,693,116.0,5.9e-8,30,hexagonal_close_packed
MS011,Lead-Pure,16.0,18.0,11.34,601,35.3,2.08e-7,5,face_centered_cubic
MS012,Gold-Pure,78.0,120.0,19.32,1337,317.0,2.44e-8,25,face_centered_cubic
MS013,Silver-Pure,83.0,170.0,10.49,1235,429.0,1.59e-8,61,face_centered_cubic
MS014,Platinum-Pure,168.0,125.0,21.45,2041,71.6,1.06e-7,56,face_centered_cubic
MS015,Graphene-Monolayer,1050.0,130000.0,2.27,4273,5300.0,1.0e-6,0,hexagonal
MS016,Diamond-Natural,1220.0,2800.0,3.52,4273,2000.0,1.0e16,10000,cubic
MS017,Boron-Nitride,865.0,750.0,2.10,3273,400.0,1.0e14,3500,hexagonal
MS018,Molybdenum-Pure,329.0,655.0,10.28,2896,138.0,5.34e-8,230,body_centered_cubic
MS019,Vanadium-Pure,128.0,350.0,6.11,2183,30.7,2.0e-7,628,body_centered_cubic
MS020,Chromium-Pure,279.0,280.0,7.19,2180,93.9,1.25e-7,1060,body_centered_cubic
