experiment_id,frequency_hz,amplitude,wavelength_nm,energy_joules,phase_shift,measurement_error,temperature_k,pressure_pa,photon_count
QE001,5.45e14,0.85,550.2,3.61e-19,0.0,0.02,295.1,101325,1250000
QE002,4.74e14,0.92,632.8,3.14e-19,1.57,0.03,294.8,101320,980000
QE003,6.88e14,0.76,435.8,4.56e-19,3.14,0.01,296.2,101330,1850000
QE004,3.85e14,1.05,780.0,2.55e-19,0.79,0.04,293.5,101315,750000
QE005,7.41e14,0.68,405.0,4.91e-19,2.36,0.02,297.3,101340,2100000
QE006,5.09e14,0.89,589.3,3.37e-19,1.18,0.03,295.7,101328,1150000
QE007,8.57e14,0.55,350.0,5.68e-19,0.52,0.01,298.1,101345,2850000
QE008,4.29e14,0.97,700.0,2.84e-19,2.09,0.05,292.8,101310,820000
QE009,6.18e14,0.81,485.7,4.10e-19,1.83,0.02,296.8,101335,1620000
QE010,5.77e14,0.73,520.0,3.82e-19,0.26,0.03,294.2,101322,1380000
QE011,3.24e14,1.12,925.0,2.15e-19,2.62,0.06,291.5,101305,560000
QE012,7.89e14,0.62,380.0,5.23e-19,1.31,0.01,299.2,101350,2450000
QE013,4.97e14,0.84,603.8,3.29e-19,0.65,0.04,295.4,101325,1080000
QE014,6.45e14,0.78,465.0,4.27e-19,2.88,0.02,297.7,101342,1750000
QE015,5.32e14,0.91,564.2,3.52e-19,1.96,0.03,293.9,101318,1290000
