sample_id,wavelength_nm,absorbance,transmittance,intensity,concentration_mol_l,ph_value,temperature_c,measurement_time_s,baseline_corrected
SP001,280.5,0.245,0.569,2850,0.0025,7.2,23.5,0.5,true
SP002,350.8,0.892,0.128,6420,0.0085,6.8,24.1,0.5,true
SP003,465.2,1.125,0.075,8950,0.0125,7.5,22.9,0.5,true
SP004,520.0,0.658,0.220,4180,0.0055,7.0,23.8,0.5,true
SP005,600.3,0.321,0.477,2150,0.0028,6.9,24.2,0.5,true
SP006,254.1,1.892,0.013,12850,0.0255,8.1,23.1,0.5,true
SP007,380.7,0.756,0.175,5820,0.0078,7.3,24.0,0.5,true
SP008,425.9,0.445,0.359,3180,0.0038,6.7,23.6,0.5,true
SP009,490.5,0.998,0.101,7520,0.0105,7.8,22.8,0.5,true
SP010,320.2,0.178,0.664,1580,0.0018,7.1,24.3,0.5,true
SP011,405.0,0.612,0.244,4850,0.0065,6.5,23.7,0.5,true
SP012,550.8,0.834,0.146,6320,0.0088,7.6,23.4,0.5,true
SP013,275.3,0.287,0.516,2480,0.0032,7.4,24.1,0.5,true
SP014,365.1,1.456,0.035,9850,0.0165,8.2,22.7,0.5,true
SP015,440.6,0.723,0.189,5150,0.0075,6.8,23.9,0.5,true
SP016,580.2,0.395,0.403,2680,0.0045,7.2,24.0,0.5,true
SP017,310.8,0.156,0.698,1280,0.0015,7.0,23.8,0.5,true
SP018,470.3,0.889,0.129,6850,0.0095,7.7,23.2,0.5,true
SP019,390.7,0.567,0.271,4520,0.0058,6.9,24.2,0.5,true
SP020,525.1,0.445,0.359,3850,0.0048,7.3,23.5,0.5,true
